Date,Price,Action
2024-12-19,249.189,SELL
2024-12-20,253.878,SELL
2024-12-23,254.656,SELL
2024-12-24,257.579,SELL
2024-12-26,258.397,SELL
2024-12-27,254.975,SELL
2024-12-30,251.593,SELL
2024-12-31,249.817,SELL
2025-01-02,243.263,SELL
2025-01-03,242.774,SELL
2025-01-06,244.41,SELL
2025-01-07,241.627,SELL
2025-01-08,242.116,SELL
2025-01-10,236.28,SELL
2025-01-13,233.836,SELL
2025-01-14,232.719,SELL
2025-01-15,237.298,SELL
2025-01-16,227.711,SELL
2025-01-17,229.427,SELL
2025-01-21,222.104,SELL
2025-01-22,223.291,SELL
2025-01-23,223.122,SELL
2025-01-24,222.244,SELL
2025-01-27,229.307,SELL
2025-01-28,237.687,SELL
2025-01-29,238.784,SELL
2025-01-30,237.018,SELL
2025-01-31,235.432,SELL
2025-02-03,227.461,SELL
2025-02-04,232.24,SELL
2025-02-05,231.911,SELL
2025-02-06,232.659,SELL
2025-02-07,227.082,SELL
2025-02-10,227.352,SELL
2025-02-11,232.315,SELL
2025-02-12,236.56,SELL
2025-02-13,241.214,SELL
2025-02-14,244.28,SELL
2025-02-18,244.15,SELL
2025-02-19,244.549,SELL
2025-02-20,245.508,SELL
2025-02-21,245.228,SELL
2025-02-24,246.776,SELL
2025-02-25,246.716,SELL
2025-02-26,240.045,SELL
2025-02-27,236.989,SELL
2025-02-28,241.523,SELL
2025-03-03,237.718,SELL
2025-03-04,235.621,SELL
2025-03-05,235.431,SELL
2025-03-06,235.022,SELL
2025-03-07,238.757,SELL
2025-03-10,227.182,SELL
2025-03-11,220.551,SELL
2025-03-12,216.696,SELL
2025-03-13,209.405,SELL
2025-03-14,213.21,SELL
2025-03-17,213.72,SELL
2025-03-18,212.411,SELL
2025-03-19,214.958,SELL
2025-03-20,213.82,SELL
2025-03-21,217.984,SELL
2025-03-24,220.441,SELL
2025-03-25,223.457,SELL
2025-03-26,221.24,SELL
2025-03-27,223.557,SELL
2025-03-28,217.615,SELL
2025-03-31,221.839,SELL
2025-04-01,222.898,SELL
2025-04-02,223.597,SELL
2025-04-03,202.924,SELL
2025-04-04,188.133,SELL
2025-04-07,181.222,SELL
2025-04-08,172.194,SELL
2025-04-09,198.59,SELL
2025-04-10,190.171,SELL
2025-04-11,197.89,SELL
2025-04-14,202.255,SELL
2025-04-15,201.875,SELL
2025-04-16,194.016,SELL
2025-04-17,196.722,SELL
2025-04-21,192.907,SELL
2025-04-22,199.478,SELL
2025-04-23,204.332,SELL
2025-04-24,208.097,SELL
2025-04-25,209.006,SELL
2025-04-28,209.865,SELL
2025-04-29,210.933,SELL
2025-04-30,212.222,SELL
2025-05-01,213.041,SELL
2025-05-02,205.081,SELL
2025-05-05,198.63,SELL
2025-05-06,198.25,SELL
2025-05-07,195.993,SELL
2025-05-08,197.231,SELL
2025-05-09,198.27,SELL
2025-05-12,210.79,SELL
2025-05-13,212.93,SELL
2025-05-14,212.33,SELL
2025-05-15,211.45,SELL
2025-05-16,211.26,SELL
2025-05-19,208.78,SELL
2025-05-20,206.86,SELL
2025-05-21,202.09,SELL
2025-05-22,201.36,SELL
2025-05-23,195.27,SELL
2025-05-27,200.21,SELL
2025-05-28,200.42,SELL
2025-05-29,199.95,SELL
2025-05-30,200.85,SELL
2025-06-02,201.7,SELL
2025-06-03,203.27,SELL
2025-06-04,202.82,SELL
2025-06-05,200.63,SELL
2025-06-06,203.92,SELL
2025-06-09,201.45,SELL
2025-06-10,202.67,SELL
2025-06-11,198.78,SELL
2025-06-12,199.2,SELL
2025-06-13,196.45,SELL
